learner_id,question_id,question_type,subskill,difficulty_level,response_time,attempt_count,correct_or_incorrect,hint_requested,session_number,timestamp,error_pattern,repeated_mistake,simulated_progress
L001,Q-LIS-2-052,listening,dictation,medium,49.503,1,1,0,1,2025-01-09T10:29:00,,0,0.0
L001,Q-GRA-2-061,grammar,modal verbs,medium,41.193,1,0,1,1,2025-01-09T17:18:00,verb-position error,0,0.0024
L001,Q-LIS-1-064,listening,dictation,easy,40.042,2,0,0,1,2025-01-10T10:26:00,number misrecognition,0,0.0048
L001,Q-REA-1-068,reading,detail retrieval,easy,50.712,2,0,1,1,2025-01-09T16:10:00,instruction parsing error,0,0.0071
L001,Q-REA-1-068,reading,dialogue,easy,72.495,3,0,0,1,2025-01-09T14:05:00,instruction parsing error,1,0.0095
L001,Q-REA-1-079,reading,instructions,easy,33.373,1,0,1,1,2025-01-09T17:15:00,main-idea misinterpretation,0,0.0119
L001,Q-REA-1-033,reading,instructions,easy,39.63,1,0,1,1,2025-01-08T15:16:00,instruction parsing error,0,0.0143
L001,Q-VOC-1-040,vocabulary,daily verbs,easy,19.592,2,0,0,1,2025-01-08T12:04:00,article-gender association error,0,0.0167
L001,Q-LIS-1-062,listening,numbers,easy,37.415,1,1,0,1,2025-01-09T17:43:00,,0,0.019
L001,Q-GRA-1-073,grammar,modal verbs,easy,35.122,1,1,0,2,2025-01-13T13:26:00,,0,0.0214
L001,Q-GRA-1-051,grammar,modal verbs,easy,34.948,2,0,1,2,2025-01-14T10:34:00,verb-position error,0,0.0238
L001,Q-VOC-1-049,vocabulary,separable verbs,easy,18.925,2,1,0,2,2025-01-13T14:19:00,,0,0.0262
L001,Q-REA-1-033,reading,dialogue,easy,37.989,2,0,0,2,2025-01-13T13:41:00,instruction parsing error,1,0.0286
L001,Q-GRA-1-045,grammar,present perfect,easy,35.547,1,1,0,2,2025-01-13T14:31:00,,0,0.031
L001,Q-VOC-1-025,vocabulary,articles,easy,25.47,1,1,0,2,2025-01-13T16:28:00,,0,0.0333
L001,Q-LIS-1-021,listening,chapter audio,easy,29.331,3,1,0,2,2025-01-12T10:02:00,,0,0.0357
L001,Q-GRA-1-071,grammar,verb position,easy,50.515,1,1,0,2,2025-01-11T09:51:00,,0,0.0381
L001,Q-VOC-1-067,vocabulary,separable verbs,easy,29.851,4,0,1,2,2025-01-14T11:47:00,vocabulary recall error,0,0.0405
L001,Q-VOC-1-055,vocabulary,daily verbs,easy,15.75,3,0,1,3,2025-01-16T16:14:00,false-friend translation error,0,0.0429
L001,Q-LIS-2-025,listening,numbers,medium,36.742,3,0,1,3,2025-01-16T09:13:00,phoneme discrimination error,0,0.0452
L001,Q-VOC-1-048,vocabulary,false friends,easy,22.001,3,0,0,3,2025-01-15T09:58:00,article-gender association error,0,0.0476
L001,Q-LIS-1-049,listening,dictation,easy,27.414,1,0,0,3,2025-01-18T11:13:00,phoneme discrimination error,0,0.05
L001,Q-LIS-1-006,listening,slow dialogue,easy,38.596,1,0,1,3,2025-01-16T17:17:00,dialogue detail omission,0,0.0524
L001,Q-REA-1-002,reading,dialogue,easy,54.433,1,1,0,3,2025-01-16T17:51:00,,0,0.0548
L001,Q-LIS-1-072,listening,numbers,easy,74.286,1,1,0,3,2025-01-15T11:07:00,slow but correct response,0,0.0571
L001,Q-LIS-1-042,listening,dictation,easy,47.289,1,1,0,3,2025-01-16T11:09:00,,0,0.0595
L001,Q-LIS-1-060,listening,numbers,easy,43.144,3,0,0,3,2025-01-16T09:33:00,number misrecognition,0,0.0619
