learner_id,engine,target_skill,recommended_difficulty,targeted_exercise_type,review_content,next_learning_path_step,decision_evidence
L001,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.59; reading_error_rate=0.67; mastery_score=51.5
L002,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.64; grammar_error_rate=0.82; mastery_score=48.0
L003,rule_based,vocabulary,medium,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.35; vocabulary_error_rate=0.37; mastery_score=62.4
L004,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.81; reading_error_rate=0.96; mastery_score=34.7
L005,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.45; vocabulary_error_rate=0.55; mastery_score=60.2
L006,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.58; grammar_error_rate=0.73; mastery_score=58.9
L007,rule_based,grammar,medium,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.37; grammar_error_rate=0.41; mastery_score=75.5
L008,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.70; grammar_error_rate=0.85; mastery_score=38.4
L009,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.50; grammar_error_rate=0.60; mastery_score=57.0
L010,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.70; listening_error_rate=0.88; mastery_score=40.6
L011,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.39; reading_error_rate=0.47; mastery_score=66.0
L012,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.51; listening_error_rate=0.59; mastery_score=48.6
L013,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.59; grammar_error_rate=0.79; mastery_score=51.0
L014,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.40; vocabulary_error_rate=0.53; mastery_score=70.1
L015,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.45; reading_error_rate=0.51; mastery_score=55.4
L016,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.49; reading_error_rate=0.58; mastery_score=64.8
L017,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.65; vocabulary_error_rate=0.79; mastery_score=46.7
L018,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.51; grammar_error_rate=0.57; mastery_score=57.7
L019,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.57; vocabulary_error_rate=0.68; mastery_score=57.9
L020,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.75; reading_error_rate=0.81; mastery_score=37.0
L021,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.61; listening_error_rate=0.76; mastery_score=53.0
L022,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.66; vocabulary_error_rate=0.79; mastery_score=51.3
L023,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.67; vocabulary_error_rate=0.84; mastery_score=48.8
L024,rule_based,vocabulary,medium,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.30; vocabulary_error_rate=0.34; mastery_score=73.8
L025,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.40; listening_error_rate=0.43; mastery_score=63.4
L026,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.36; listening_error_rate=0.52; mastery_score=71.6
L027,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.75; grammar_error_rate=0.91; mastery_score=43.1
L028,rule_based,vocabulary,medium,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.28; vocabulary_error_rate=0.38; mastery_score=80.5
L029,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.71; listening_error_rate=0.89; mastery_score=45.3
L030,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.81; reading_error_rate=0.95; mastery_score=35.9
L031,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.80; vocabulary_error_rate=0.95; mastery_score=36.8
L032,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.42; reading_error_rate=0.51; mastery_score=65.1
L033,rule_based,vocabulary,medium,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.29; vocabulary_error_rate=0.31; mastery_score=71.6
L034,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.58; vocabulary_error_rate=0.69; mastery_score=59.7
L035,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.70; grammar_error_rate=0.84; mastery_score=51.6
L036,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.70; vocabulary_error_rate=0.84; mastery_score=43.3
L037,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.71; grammar_error_rate=0.85; mastery_score=44.3
L038,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.61; listening_error_rate=0.76; mastery_score=50.5
L039,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.31; listening_error_rate=0.43; mastery_score=74.2
L040,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.62; listening_error_rate=0.66; mastery_score=49.9
L041,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.54; listening_error_rate=0.61; mastery_score=61.5
L042,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.55; listening_error_rate=0.74; mastery_score=52.0
L043,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.40; vocabulary_error_rate=0.49; mastery_score=60.9
L044,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.51; listening_error_rate=0.65; mastery_score=55.5
L045,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.67; vocabulary_error_rate=0.85; mastery_score=50.5
L046,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.66; reading_error_rate=0.80; mastery_score=47.5
L047,rule_based,listening,easy,slow dialogue replay and dictation,Review German listening items connected to repeated errors.,Insert slow dialogue replay and dictation before the next mixed-skill lesson.,error_rate=0.65; listening_error_rate=0.82; mastery_score=45.7
L048,rule_based,reading,easy,short passage with targeted questions,Review German reading items connected to repeated errors.,Insert short passage with targeted questions before the next mixed-skill lesson.,error_rate=0.57; reading_error_rate=0.70; mastery_score=50.7
L049,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.35; grammar_error_rate=0.43; mastery_score=67.1
L050,rule_based,grammar,easy,guided grammar drill,Review German grammar items connected to repeated errors.,Insert guided grammar drill before the next mixed-skill lesson.,error_rate=0.48; grammar_error_rate=0.55; mastery_score=60.2
L051,rule_based,vocabulary,easy,spaced flashcard review,Review German vocabulary items connected to repeated errors.,Insert spaced flashcard review before the next mixed-skill lesson.,error_rate=0.55; vocabulary_error_rate=0.71; mastery_score=60.7
