learner_id,engine,target_skill,recommended_difficulty,targeted_exercise_type,review_content,next_learning_path_step,decision_evidence
L001,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.51; improvement_velocity=-0.003
L002,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.57; improvement_velocity=-0.006
L003,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.39; improvement_velocity=-0.008
L004,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.66; improvement_velocity=-0.005
L005,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.44; improvement_velocity=-0.006
L006,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.53; improvement_velocity=0.003
L007,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=grammar_weakness; adaptive_risk=0.35; improvement_velocity=0.003
L008,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.62; improvement_velocity=-0.012
L009,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=grammar_weakness; adaptive_risk=0.49; improvement_velocity=-0.002
L010,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.59; improvement_velocity=-0.008
L011,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.38; improvement_velocity=-0.007
L012,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.49; improvement_velocity=-0.009
L013,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.52; improvement_velocity=-0.012
L014,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.36; improvement_velocity=0.003
L015,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=reading_weakness; adaptive_risk=0.44; improvement_velocity=-0.013
L016,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.42; improvement_velocity=0.004
L017,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.57; improvement_velocity=-0.008
L018,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.49; improvement_velocity=-0.003
L019,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.53; improvement_velocity=-0.001
L020,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.64; improvement_velocity=-0.010
L021,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.57; improvement_velocity=0.006
L022,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.58; improvement_velocity=0.002
L023,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.59; improvement_velocity=-0.002
L024,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.31; improvement_velocity=-0.002
L025,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.38; improvement_velocity=-0.003
L026,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=listening_weakness; adaptive_risk=0.39; improvement_velocity=0.000
L027,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.64; improvement_velocity=-0.003
L028,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.31; improvement_velocity=0.008
L029,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.61; improvement_velocity=-0.002
L030,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.66; improvement_velocity=-0.004
L031,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.66; improvement_velocity=-0.005
L032,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.40; improvement_velocity=-0.004
L033,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.33; improvement_velocity=-0.002
L034,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.52; improvement_velocity=0.001
L035,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.62; improvement_velocity=0.001
L036,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.60; improvement_velocity=-0.005
L037,ml_based,grammar,easy,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=easy.,predicted_weakness=grammar_weakness; adaptive_risk=0.61; improvement_velocity=-0.002
L038,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.55; improvement_velocity=-0.003
L039,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=listening_weakness; adaptive_risk=0.32; improvement_velocity=0.000
L040,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=balanced_learner; adaptive_risk=0.51; improvement_velocity=-0.004
L041,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.45; improvement_velocity=0.006
L042,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.53; improvement_velocity=-0.004
L043,ml_based,vocabulary,medium,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=medium.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.42; improvement_velocity=-0.009
L044,ml_based,listening,medium,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.46; improvement_velocity=-0.001
L045,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.58; improvement_velocity=-0.001
L046,ml_based,reading,easy,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=easy.,predicted_weakness=reading_weakness; adaptive_risk=0.58; improvement_velocity=-0.001
L047,ml_based,listening,easy,model-selected listening intervention,"Prioritize high-importance features for listening: recent errors, hint use, retries, and response speed.",Adapt next session toward listening with difficulty=easy.,predicted_weakness=listening_weakness; adaptive_risk=0.55; improvement_velocity=-0.009
L048,ml_based,reading,medium,model-selected reading intervention,"Prioritize high-importance features for reading: recent errors, hint use, retries, and response speed.",Adapt next session toward reading with difficulty=medium.,predicted_weakness=reading_weakness; adaptive_risk=0.50; improvement_velocity=-0.004
L049,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.34; improvement_velocity=-0.007
L050,ml_based,grammar,medium,model-selected grammar intervention,"Prioritize high-importance features for grammar: recent errors, hint use, retries, and response speed.",Adapt next session toward grammar with difficulty=medium.,predicted_weakness=balanced_learner; adaptive_risk=0.43; improvement_velocity=-0.003
L051,ml_based,vocabulary,easy,model-selected vocabulary intervention,"Prioritize high-importance features for vocabulary: recent errors, hint use, retries, and response speed.",Adapt next session toward vocabulary with difficulty=easy.,predicted_weakness=vocabulary_weakness; adaptive_risk=0.51; improvement_velocity=0.000
